Run,brock400_1,brock400_2,brock400_3,brock400_4,MANN_a45,p_hat500-3,DSJC1000_5,p_hat1000-2,sanr400_0.7,p_hat700-3
1,54294,39057,29245,13969,40254,22017,30436,32913,14219,331057
2,54470,39020,29200,13913,40200,21954,30250,32796,14342,331535
3,54384,39108,29241,13937,40215,22122,30295,32579,14203,331483
4,54129,39006,29262,13913,40245,21978,30414,32596,14210,331748
5,53939,39077,29241,13946,40231,22054,30271,33099,14218,327724
6,53991,39074,29188,13945,40206,22002,29995,32926,14212,330160
7,53908,39094,29240,13953,40261,21956,30001,33057,14356,327544
8,53890,39053,29253,13954,40647,21986,30011,32881,14211,327058
9,54022,39054,29209,13925,40556,21949,30501,32627,14212,328328
10,53892,39044,29209,13920,40569,21993,30266,32589,14395,327977
11,53987,39061,29414,14211,40621,22072,30356,32886,14332,327716
12,53861,38996,29559,14282,40821,21955,30409,32892,14221,327846
13,53863,39074,29480,14318,40804,21926,30238,33012,14212,331113
14,54022,39312,30047,14293,40733,22059,30455,32886,14211,330798
15,54014,39118,29434,14159,40701,22162,30397,32899,14228,332519
16,53950,38969,29685,14310,40562,21989,30467,32930,14215,331480
17,53892,39891,29686,14243,40820,21955,30269,32981,14208,330722
18,53868,39355,29352,14224,40889,21977,30273,32629,14210,331647
19,53952,39021,29743,14228,40556,22008,30491,32589,14225,331366
20,53952,39214,29723,14207,40575,22045,30438,32601,14418,330773
21,54688,39457,29486,14106,40819,21988,30273,33123,14396,331414
22,53915,39786,29417,14119,40623,22019,30314,33083,14338,331734
23,54504,39083,29905,13985,40870,21972,30506,32884,14338,330354
24,54368,39224,29670,13957,40657,21973,30512,32901,14373,331831
25,54385,39127,29513,13954,40715,21962,30314,33011,14307,331588
26,54109,39142,29517,13927,40817,21879,30247,32879,14290,329638
27,54287,39232,29717,13972,40564,21817,30270,33052,14427,331573
28,54348,39605,29693,14220,40433,21816,30470,32911,14344,329215
29,54357,39666,29634,14153,40792,21960,30247,33028,14371,330520
30,53927,39085,29692,14166,40431,21811,30290,33078,14418,329700
31,54197,39145,29721,13939,40700,22120,30457,32864,14355,331782
32,54341,39244,29852,14181,40461,22167,30260,32943,14387,329409
33,54324,39173,29428,14062,40634,22135,30479,33131,14350,331086
34,54602,39927,29687,14164,40558,22038,30053,33150,14365,330861
35,54336,39664,29590,13975,40384,21797,30252,32897,14331,330438
36,54293,39130,29717,13986,40636,21805,30255,32942,14306,329879
37,54912,39930,29435,14007,40509,22054,30278,32912,14413,331735
38,54619,39594,29928,14223,40790,22154,30312,32885,14415,329446
39,54228,39431,29721,14319,40589,22132,30448,33084,14347,331882
40,54532,39440,30039,14112,40584,22001,30478,33026,14288,329954
41,54266,39563,29533,13952,40530,21971,30448,32904,14353,328329
42,54284,39094,29524,14113,40623,22140,30310,32943,14242,330294
43,54892,39165,29384,13945,40503,22144,30332,32901,14419,330033
44,54532,39121,29745,13958,40238,21964,30344,32895,14346,329944
45,54185,39198,29595,14108,40313,22053,30359,32903,14304,330803
46,54401,39163,29466,14004,40311,22170,30323,32896,14303,330233
47,54421,39965,29959,14201,40635,21953,30302,32964,14307,327640
48,54932,39105,29633,13987,40200,22155,30299,33149,14351,331086
49,54519,39248,29715,13936,40483,22184,30262,32898,14368,331313
50,54355,39171,29535,13941,40523,22001,30229,33045,14380,329516
