algorithm,runtime,log.runtime
2,44659,10.70681113
2,29701,10.29893599
1,127845,11.75857387
2,47603,10.77065106
1,76642,11.24690051
1,89245,11.39914068
2,35208,10.46902861
2,40934,10.61971629
2,38898,10.56869811
1,76609,11.24646984
1,87570,11.38019375
2,40497,10.60898318
1,89129,11.39784004
1,111250,11.6195352
2,40526,10.60969902
2,39235,10.57732448
2,34718,10.45501356
1,100864,11.52152835
1,73352,11.20302505
1,106779,11.57851656
1,90970,11.41828506
2,39575,10.58595288
2,38000,10.54534144
1,101834,11.53109932
1,79557,11.28422902
2,39021,10.57185524
1,94195,11.45312238
2,41121,10.62427422
1,84886,11.34906446
2,38888,10.568441
2,36643,10.50897769
1,101919,11.53193366
1,82893,11.3253059
2,39947,10.59530885
1,118064,11.67898213
2,47605,10.77069308
1,97262,11.48516365
2,39064,10.57295661
1,84954,11.34986521
2,35027,10.46387447
2,36374,10.50160951
2,39642,10.58764444
2,41465,10.63260498
2,37718,10.53789271
1,82827,11.32450937
2,34427,10.44659642
1,130737,11.78094295
1,101109,11.52395442
2,39380,10.58101335
2,35042,10.46430262
2,34989,10.46278901
2,32715,10.39558897
2,30767,10.33419797
2,41672,10.63758472
1,89113,11.39766051
1,76467,11.24461455
2,34415,10.44624779
2,36164,10.49581943
1,85733,11.35899309
2,31737,10.36523847
1,85046,11.35094757
1,118653,11.68395855
1,84445,11.34385571
1,80002,11.28980691
2,37657,10.53627414
2,41407,10.63120523
1,93030,11.4406773
2,40104,10.59923136
2,45063,10.71581679
2,38847,10.56738613
1,93423,11.44489285
1,79827,11.28761707
1,87926,11.38425083
2,35999,10.49124644
2,33359,10.41508288
1,92524,11.43522335
2,39463,10.5831188
1,99009,11.50296603
2,39336,10.57989541
1,75429,11.2309471
1,90036,11.40796487
2,34968,10.46218864
1,114055,11.64443607
2,37158,10.52293437
2,40262,10.60316338
2,35493,10.47709077
2,41415,10.63139841
1,91400,11.42300076
2,44828,10.71058822
1,87727,11.381985
2,34824,10.45806208
2,34388,10.44546295
1,74024,11.21214464
1,68285,11.1314454
1,129531,11.77167551
1,102274,11.53541077
1,108757,11.59687131
1,123893,11.72717357
2,34249,10.44141265
2,38895,10.56862099
2,38170,10.54980515
2,30803,10.33536737
1,71049,11.17112506
2,40924,10.61947197
2,29740,10.30024822
2,43093,10.67111585
2,31450,10.35615426
2,32803,10.39827525
1,98916,11.50202628
2,37956,10.54418287
1,74538,11.21906434
1,84964,11.34998292
1,113020,11.63532007
1,103946,11.55162681
2,43664,10.68427924
1,84993,11.35032418
2,36729,10.51132191
2,32969,10.40332301
2,39744,10.59021417
2,38742,10.56467956
1,73545,11.20565274
2,38236,10.55153276
2,37139,10.52242291
2,37184,10.52363384
1,84456,11.34398597
2,36520,10.50561533
2,38372,10.55508331
1,74003,11.21186091
1,196502,12.18842789
1,89176,11.39836722
1,129600,11.77220806
2,39270,10.57821615
2,39424,10.58213005
1,85861,11.36048499
2,39688,10.58880415
